run,channel,idx,arch,subset_size,n_slice_rows,bh76_mae_nn,bh76_mae_pbe,bh76_n,w411_mae_nn,w411_mae_pbe,w411_n,combined_mae_nn,combined_mae_pbe,combined_n
run_20260810T202813Z,eval_holdout_val_best,27,deep_cusp_3x16,6,120,6.63002728524943,6.628451441315214,38,25.959117876620034,13.826366600151305,81,19.78680323399749,11.527872683884318,119
run_20260810T202813Z,eval_holdout_val_best,28,deep_cusp_3x16,7,120,5.760830163831464,6.628451441316153,38,14.16058721022833,13.826366600153067,81,11.478311850874709,11.527872683885818,119
run_20260810T202813Z,eval_holdout_val_best,29,deep_cusp_3x16,12,120,5.730714185506398,6.628451441319908,38,15.899884800988184,13.826366600149544,81,12.652586621254507,11.527872683884619,119
run_20260810T202813Z,eval_holdout_val_best,30,deep_cusp_3x16,15,120,5.624142118139957,6.628451441317091,38,15.414383626463007,13.826366600172445,81,12.28808801876321,11.527872683899306,119
run_20260810T202813Z,eval_holdout_val_best,31,deep_cusp_3x16,18,120,5.694748480559739,6.628451441318499,38,14.237351770028967,13.826366600153067,81,11.509461643979972,11.527872683886567,119
run_20260810T202813Z,eval_holdout_val_best,32,deep_cusp_3x16,26,120,6.263839686615164,6.628451441310521,38,12.249149735193898,13.826366600151305,81,10.337874257496486,11.52787268388282,119
run_20260810T202813Z,eval_holdout_val_best,33,deep_rung35_3x16,1,120,8.165714662812059,6.6284514413067654,38,23.017061107151523,13.826366600164958,81,18.27461434341287,11.527872683890914,119
run_20260810T202813Z,eval_holdout_val_best,34,deep_rung35_3x16,2,120,6.036166018660369,6.628451441324131,38,19.76387819940049,13.826366600164958,81,15.38023901563474,11.527872683896458,119
run_20260810T202813Z,eval_holdout_val_best,35,deep_rung35_3x16,3,120,5.514312097405532,6.628451441307705,38,15.51433949511843,13.826366600164958,81,12.321053435344563,11.527872683891214,119
run_20260810T202813Z,eval_holdout_val_best,36,deep_rung35_3x16,4,120,4.685532329662865,6.628451441320846,38,28.114886992803175,13.826366600165837,81,20.63324432726257,11.52787268389601,119
run_20260810T202813Z,eval_holdout_val_best,37,deep_rung35_3x16,5,120,5.312811437846836,6.628451441310051,38,20.204245281534515,13.826366600165397,81,15.4489974995166,11.527872683892262,119
run_20260810T202813Z,eval_holdout_val_best,38,deep_rung35_3x16,6,120,7.912771431095273,6.628451441307705,38,31.737941116249583,13.826366600164958,81,24.12990373779695,11.527872683891214,119
run_20260810T202813Z,eval_holdout_val_best,39,deep_rung35_3x16,7,120,5.493266403629791,6.628451441319438,38,17.808915557763836,13.826366600165397,81,13.876187256443721,11.527872683895259,119
run_20260810T202813Z,eval_holdout_val_best,40,deep_rung35_3x16,12,120,5.35933947371854,6.628451441307705,38,18.380290757820024,13.826366600164958,81,14.222339927602743,11.527872683891214,119
