leg,arch,subset_size,n_reactions,n_density_species,E_kcalmol,D_rmse,gamma,gammaD_kcalmol,ED_kcalmol,E_pbe_kcalmol,D_pbe_rmse,ED_pbe_kcalmol,beats_pbe,E_scan_kcalmol,D_scan_rmse,ED_scan_kcalmol,beats_scan,ED_pbe_cell_kcalmol,ED_scan_cell_kcalmol,n_reactions_slice,D_insample_rmse,n_insample_species
wtmad2,medium,26,159,155,9.107337024238664,0.00022376838763196814,38283.27949515679,8.566587725895223,8.828690024477222,8.915174138633205,0.00023287383568487284,8.915174138633205,True,,,,,9.340093473111274,,159,0.00011767554734403918,22
wtmad2,medium_attn,1,177,178,13.97253881197664,0.0004116148944073117,38283.27949515679,15.757968046964564,14.811642544727297,8.915174138633205,0.00023287383568487284,8.915174138633205,False,,,,,8.94877390397355,,177,7.518728932328337e-05,1
wtmad2,medium_attn,2,177,176,7.867778854177325,0.00027928308629709085,38283.27949515679,10.691872450981522,9.064964270962475,8.915174138633205,0.00023287383568487284,8.915174138633205,False,,,,,8.926285011526,,177,7.108225840938831e-05,3
wtmad2,medium_attn,3,176,174,9.103982113180889,0.0002355386065663181,38283.27949515679,9.017190307078128,9.060378364372294,8.915174138633205,0.00023287383568487284,8.915174138633205,False,,,,,8.841275163796865,,176,8.954125520114657e-05,3
wtmad2,medium_attn,4,175,173,6.670434107145679,0.0002409199185302424,38283.27949515679,9.223204577043674,7.741811627956005,8.915174138633205,0.00023287383568487284,8.915174138633205,True,,,,,8.877969223577697,,175,8.302729112379848e-05,4
wtmad2,medium_attn,5,176,174,7.016781507038062,0.00023518101882077916,38283.27949515679,9.003500675471619,7.886951842487094,8.915174138633205,0.00023287383568487284,8.915174138633205,True,,,,,8.841275163796865,,176,6.805623960806788e-05,4
wtmad2,medium_attn,6,175,173,6.622499848846805,0.0002793355108284499,38283.27949515679,10.693879433967943,8.17956384280894,8.915174138633205,0.00023287383568487284,8.915174138633205,True,,,,,8.876199257203941,,175,6.614370941668981e-05,5
wtmad2,medium_attn,7,175,171,6.124583748007262,0.0003331485060614028,38283.27949515679,12.75401737094262,8.275300380542442,8.915174138633205,0.00023287383568487284,8.915174138633205,True,,,,,9.005161933268061,,175,0.00010001239827894699,6
mae,medium,1,177,178,7.104397051134339,0.00022907473580736736,49700.33133432063,11.38509026994812,8.74920978998593,11.57390679263232,0.00023287383568487284,11.57390679263232,True,,,,,11.628227844495884,,177,9.52292339038838e-05,1
mae,medium,2,177,176,28.457963994135575,0.00027333861863109246,49700.33133432063,13.585019912430802,18.39079777908866,11.57390679263232,0.00023287383568487284,11.57390679263232,False,,,,,11.556276701826851,,177,8.284633598943358e-05,3
mae,medium,3,176,174,15.554974906848846,0.0002702383082327363,49700.33133432063,13.43093345839326,14.41513098629564,11.57390679263232,0.00023287383568487284,11.57390679263232,False,,,,,11.585989179702137,,176,0.00012857576964064936,3
mae,medium,4,175,173,15.832871392066371,0.00026004242944793456,49700.33133432063,12.924194904544045,14.231431931133024,11.57390679263232,0.00023287383568487284,11.57390679263232,False,,,,,11.630304551127976,,175,0.00011637044860506084,4
mae,medium,5,176,174,24.19919311390147,0.0002538172010048852,49700.33133432063,12.614798988292653,16.58434412455631,11.57390679263232,0.00023287383568487284,11.57390679263232,False,,,,,11.585989179702137,,176,9.34327468458045e-05,4
