panel,series,x_name,x,y_name,y
a_exchange,pbe_fx,s,1.75,F_x,1.3661272783967613
a_exchange,pbe_fx,s,1.76,F_x,1.3684007741999444
a_exchange,pbe_fx,s,1.77,F_x,1.3706635373063014
a_exchange,pbe_fx,s,1.78,F_x,1.372915535353862
a_exchange,pbe_fx,s,1.79,F_x,1.3751567385292578
a_exchange,pbe_fx,s,1.8,F_x,1.3773871195108214
a_exchange,pbe_fx,s,1.81,F_x,1.3796066534123625
a_exchange,pbe_fx,s,1.82,F_x,1.3818153177276278
a_exchange,pbe_fx,s,1.83,F_x,1.384013092275453
a_exchange,pbe_fx,s,1.84,F_x,1.3861999591456153
a_exchange,pbe_fx,s,1.85,F_x,1.3883759026453952
a_exchange,pbe_fx,s,1.86,F_x,1.3905409092468477
a_exchange,pbe_fx,s,1.87,F_x,1.3926949675347984
a_exchange,pbe_fx,s,1.8800000000000001,F_x,1.3948380681555579
a_exchange,pbe_fx,s,1.8900000000000001,F_x,1.396970203766366
a_exchange,pbe_fx,s,1.9000000000000001,F_x,1.3990913689855675
a_exchange,pbe_fx,s,1.9100000000000001,F_x,1.4012015603435164
a_exchange,pbe_fx,s,1.92,F_x,1.4033007762342204
a_exchange,pbe_fx,s,1.93,F_x,1.4053890168677161
a_exchange,pbe_fx,s,1.94,F_x,1.407466284223184
a_exchange,pbe_fx,s,1.95,F_x,1.4095325820027964
a_exchange,pbe_fx,s,1.96,F_x,1.4115879155863043
a_exchange,pbe_fx,s,1.97,F_x,1.413632291986356
a_exchange,pbe_fx,s,1.98,F_x,1.4156657198045486
a_exchange,pbe_fx,s,1.99,F_x,1.4176882091882126
a_exchange,pbe_fx,s,2.0,F_x,1.4196997717879212
a_exchange,pbe_fx,s,2.0100000000000002,F_x,1.4217004207157282
a_exchange,pbe_fx,s,2.02,F_x,1.4236901705041243
a_exchange,pbe_fx,s,2.0300000000000002,F_x,1.4256690370657144
a_exchange,pbe_fx,s,2.04,F_x,1.4276370376536063
a_exchange,pbe_fx,s,2.05,F_x,1.4295941908225116
a_exchange,pbe_fx,s,2.06,F_x,1.4315405163905481
a_exchange,pbe_fx,s,2.07,F_x,1.4334760354017448
a_exchange,pbe_fx,s,2.08,F_x,1.435400770089239
a_exchange,pbe_fx,s,2.09,F_x,1.4373147438391631
a_exchange,pbe_fx,s,2.1,F_x,1.4392179811552137
a_exchange,pbe_fx,s,2.11,F_x,1.4411105076238977
a_exchange,pbe_fx,s,2.12,F_x,1.4429923498804489
a_exchange,pbe_fx,s,2.13,F_x,1.4448635355754074
a_exchange,pbe_fx,s,2.14,F_x,1.4467240933418568
a_exchange,pbe_fx,s,2.15,F_x,1.4485740527633122
a_exchange,pbe_fx,s,2.16,F_x,1.4504134443422512
a_exchange,pbe_fx,s,2.17,F_x,1.4522422994692783
a_exchange,pbe_fx,s,2.18,F_x,1.4540606503929228
a_exchange,pbe_fx,s,2.19,F_x,1.4558685301900542
a_exchange,pbe_fx,s,2.2,F_x,1.4576659727369123
a_exchange,pbe_fx,s,2.21,F_x,1.459453012680745
a_exchange,pbe_fx,s,2.22,F_x,1.4612296854120412
a_exchange,pbe_fx,s,2.23,F_x,1.4629960270373583
a_exchange,pbe_fx,s,2.24,F_x,1.4647520743527291
a_exchange,pbe_fx,s,2.25,F_x,1.4664978648176454
a_exchange,pbe_fx,s,2.2600000000000002,F_x,1.4682334365296086
a_exchange,pbe_fx,s,2.27,F_x,1.4699588281992373
a_exchange,pbe_fx,s,2.2800000000000002,F_x,1.4716740791259282
a_exchange,pbe_fx,s,2.29,F_x,1.473379229174058
a_exchange,pbe_fx,s,2.3000000000000003,F_x,1.475074318749721
a_exchange,pbe_fx,s,2.31,F_x,1.4767593887779933
a_exchange,pbe_fx,s,2.32,F_x,1.4784344806807153
a_exchange,pbe_fx,s,2.33,F_x,1.480099636354785
a_exchange,pbe_fx,s,2.34,F_x,1.4817548981509527
a_exchange,pbe_fx,s,2.35,F_x,1.483400308853113
a_exchange,pbe_fx,s,2.36,F_x,1.48503591165808
a_exchange,pbe_fx,s,2.37,F_x,1.4866617501558428
a_exchange,pbe_fx,s,2.38,F_x,1.4882778683102913
a_exchange,pbe_fx,s,2.39,F_x,1.4898843104404043
a_exchange,pbe_fx,s,2.4,F_x,1.491481121201892
a_exchange,pbe_fx,s,2.41,F_x,1.4930683455692866
a_exchange,pbe_fx,s,2.42,F_x,1.4946460288184702
a_exchange,pbe_fx,s,2.43,F_x,1.4962142165096375
a_exchange,pbe_fx,s,2.44,F_x,1.4977729544706766
a_exchange,pbe_fx,s,2.45,F_x,1.4993222887809725
a_exchange,pbe_fx,s,2.46,F_x,1.5008622657556137
a_exchange,pbe_fx,s,2.47,F_x,1.5023929319300038
a_exchange,pbe_fx,s,2.48,F_x,1.5039143340448646
a_exchange,pbe_fx,s,2.49,F_x,1.5054265190316265
a_exchange,pbe_fx,s,2.5,F_x,1.5069295339981974
a_exchange,pbe_fx,s,2.5100000000000002,F_x,1.5084234262151046
a_exchange,pbe_fx,s,2.52,F_x,1.5099082431020008
a_exchange,pbe_fx,s,2.5300000000000002,F_x,1.5113840322145276
a_exchange,pbe_fx,s,2.54,F_x,1.5128508412315305
a_exchange,pbe_fx,s,2.5500000000000003,F_x,1.514308717942618
a_exchange,pbe_fx,s,2.56,F_x,1.5157577102360573
a_exchange,pbe_fx,s,2.57,F_x,1.517197866087
a_exchange,pbe_fx,s,2.58,F_x,1.5186292335460343
a_exchange,pbe_fx,s,2.59,F_x,1.5200518607280502
a_exchange,pbe_fx,s,2.6,F_x,1.5214657958014208
a_exchange,pbe_fx,s,2.61,F_x,1.5228710869774826
a_exchange,pbe_fx,s,2.62,F_x,1.524267782500319
a_exchange,pbe_fx,s,2.63,F_x,1.5256559306368325
a_exchange,pbe_fx,s,2.64,F_x,1.5270355796671047
a_exchange,pbe_fx,s,2.65,F_x,1.5284067778750354
a_exchange,pbe_fx,s,2.66,F_x,1.529769573539256
a_exchange,pbe_fx,s,2.67,F_x,1.5311240149243113
a_exchange,pbe_fx,s,2.68,F_x,1.532470150272103
a_exchange,pbe_fx,s,2.69,F_x,1.5338080277935915
a_exchange,pbe_fx,s,2.7,F_x,1.5351376956607474
a_exchange,pbe_fx,s,2.71,F_x,1.5364592019987495
a_exchange,pbe_fx,s,2.72,F_x,1.537772594878424
a_exchange,pbe_fx,s,2.73,F_x,1.539077922308916
a_exchange,pbe_fx,s,2.74,F_x,1.5403752322305944
a_exchange,pbe_fx,s,2.75,F_x,1.5416645725081797
a_exchange,pbe_fx,s,2.7600000000000002,F_x,1.5429459909240908
a_exchange,pbe_fx,s,2.77,F_x,1.5442195351720083
a_exchange,pbe_fx,s,2.7800000000000002,F_x,1.5454852528506464
a_exchange,pbe_fx,s,2.79,F_x,1.5467431914577308
a_exchange,pbe_fx,s,2.8000000000000003,F_x,1.5479933983841754
a_exchange,pbe_fx,s,2.81,F_x,1.5492359209084567
a_exchange,pbe_fx,s,2.82,F_x,1.5504708061911785
a_exchange,pbe_fx,s,2.83,F_x,1.5516981012698228
a_exchange,pbe_fx,s,2.84,F_x,1.5529178530536845
a_exchange,pbe_fx,s,2.85,F_x,1.5541301083189827
a_exchange,pbe_fx,s,2.86,F_x,1.5553349137041472
