panel,series,x_name,x,y_name,y,raw_indicator
b_ceiling,raw_indicator,tau_over_tau_unif,2.0899845994754878,alpha,0.4233179328088209,0.4233179328088209
b_ceiling,raw_indicator,tau_over_tau_unif,2.0965329013748946,alpha,0.42986623470822777,0.42986623470822777
b_ceiling,raw_indicator,tau_over_tau_unif,2.1031824989068326,alpha,0.436515832240166,0.436515832240166
b_ceiling,raw_indicator,tau_over_tau_unif,2.1099349590126755,alpha,0.4432682923460089,0.4432682923460089
b_ceiling,raw_indicator,tau_over_tau_unif,2.1167918728728004,alpha,0.45012520620613367,0.45012520620613367
b_ceiling,raw_indicator,tau_over_tau_unif,2.1237548562815416,alpha,0.4570881896148751,0.4570881896148751
b_ceiling,raw_indicator,tau_over_tau_unif,2.1308255500279447,alpha,0.464158883361278,0.464158883361278
b_ceiling,raw_indicator,tau_over_tau_unif,2.1380056202824074,alpha,0.47133895361574046,0.47133895361574046
b_ceiling,raw_indicator,tau_over_tau_unif,2.1452967589893053,alpha,0.4786300923226384,0.4786300923226384
b_ceiling,raw_indicator,tau_over_tau_unif,2.152700684265689,alpha,0.4860340175990219,0.4860340175990219
b_ceiling,raw_indicator,tau_over_tau_unif,2.1602191408061473,alpha,0.49355247413948067,0.49355247413948067
b_ceiling,raw_indicator,tau_over_tau_unif,2.167853900293939,alpha,0.5011872336272724,0.5011872336272724
b_ceiling,raw_indicator,tau_over_tau_unif,2.1756067618184756,alpha,0.5089400951518089,0.5089400951518089
b_ceiling,raw_indicator,tau_over_tau_unif,2.1834795522992705,alpha,0.5168128856326035,0.5168128856326035
b_ceiling,raw_indicator,tau_over_tau_unif,2.1914741269164395,alpha,0.5248074602497727,0.5248074602497727
b_ceiling,raw_indicator,tau_over_tau_unif,2.199592369547867,alpha,0.5329257028812004,0.5329257028812004
b_ceiling,raw_indicator,tau_over_tau_unif,2.2078361932131303,alpha,0.5411695265464638,0.5411695265464638
b_ceiling,raw_indicator,tau_over_tau_unif,2.2162075405242914,alpha,0.5495408738576247,0.5495408738576247
b_ceiling,raw_indicator,tau_over_tau_unif,2.2247083841436632,alpha,0.5580417174769965,0.5580417174769965
b_ceiling,raw_indicator,tau_over_tau_unif,2.233340727248658,alpha,0.5666740605819913,0.5666740605819913
b_ceiling,raw_indicator,tau_over_tau_unif,2.2421066040038236,alpha,0.5754399373371569,0.5754399373371569
