panel,series,x_name,x,y_name,y,Fx
a_residual,s0,alpha,43401.026364474405,abs_delta_Fx,0.001732512478894721,0.7842439771037857
a_residual,s0,alpha,44668.359215096345,abs_delta_Fx,0.001732625318991543,0.7842438642636889
a_residual,s0,alpha,45972.69885308718,abs_delta_Fx,0.001732734957498705,0.7842437546251817
a_residual,s0,alpha,47315.12589614812,abs_delta_Fx,0.0017328414852575413,0.7842436480974229
a_residual,s0,alpha,48696.75251658631,abs_delta_Fx,0.0017329449905292282,0.7842435445921512
a_residual,s0,alpha,50118.72336272725,abs_delta_Fx,0.0017330455590736094,0.7842434440236068
a_residual,s0,alpha,51582.21650723061,abs_delta_Fx,0.001733143274214477,0.7842433463084659
a_residual,s0,alpha,53088.444423098794,abs_delta_Fx,0.001733238216913513,0.7842432513657669
a_residual,s0,alpha,54638.65498818551,abs_delta_Fx,0.0017333304658335713,0.7842431591168468
a_residual,s0,alpha,56234.13251903491,abs_delta_Fx,0.0017334200974059577,0.7842430694852744
a_residual,s0,alpha,57876.19883491209,abs_delta_Fx,0.0017335071858932682,0.7842429823967871
a_residual,s0,alpha,59566.214352901094,abs_delta_Fx,0.001733591803452228,0.7842428977792282
a_residual,s0,alpha,61305.57921498202,abs_delta_Fx,0.001733674020189424,0.784242815562491
a_residual,s0,alpha,63095.73444801943,abs_delta_Fx,0.0017337539042243666,0.784242735678456
a_residual,s0,alpha,64938.16315762113,abs_delta_Fx,0.0017338315217430011,0.7842426580609374
a_residual,s0,alpha,66834.39175686149,abs_delta_Fx,0.0017339069370534421,0.784242582645627
a_residual,s0,alpha,68785.99123088081,abs_delta_Fx,0.0017339802126394854,0.7842425093700409
a_residual,s0,alpha,70794.57843841374,abs_delta_Fx,0.0017340514092114567,0.784242438173469
a_residual,s0,alpha,72861.81745132289,abs_delta_Fx,0.0017341205857566155,0.7842423689969238
a_residual,s0,alpha,74989.42093324558,abs_delta_Fx,0.0017341877995900035,0.7842423017830904
a_residual,s0,alpha,77179.15155850127,abs_delta_Fx,0.001734253106398631,0.7842422364762818
a_residual,s0,alpha,79432.82347242821,abs_delta_Fx,0.0017343165602914379,0.784242173022389
a_residual,s0,alpha,81752.30379436494,abs_delta_Fx,0.0017343782138401487,0.7842421113688403
a_residual,s0,alpha,84139.51416451964,abs_delta_Fx,0.001734438118126791,0.7842420514645536
a_residual,s0,alpha,86596.43233600653,abs_delta_Fx,0.0017344963227814425,0.784241993259899
a_residual,s0,alpha,89125.0938133746,abs_delta_Fx,0.0017345528760288609,0.7842419367066515
a_residual,s0,alpha,91727.59353897804,abs_delta_Fx,0.0017346078247229002,0.7842418817579575
a_residual,s0,alpha,94406.08762859226,abs_delta_Fx,0.001734661214390032,0.7842418283682904
a_residual,s0,alpha,97162.79515771077,abs_delta_Fx,0.001734713089264428,0.784241776493416
a_residual,s0,alpha,100000.0,abs_delta_Fx,0.0017347634923237099,0.7842417260903567
a_residual,s0,alpha,102920.05271944286,abs_delta_Fx,0.0017348124653284724,0.7842416771173519
a_residual,s0,alpha,105925.37251772897,abs_delta_Fx,0.0017348600488527044,0.7842416295338277
