panel,series,x_name,x,y_name,y,F_parent,z_parent
a_exchange,pbe_fx,s,4.3,L_prime,0.12313484480420495,1.6710700488077885,2.3132411314951664
a_exchange,pbe_fx,s,4.325,L_prime,0.12204136426351847,1.672351464507346,2.323694206164636
a_exchange,pbe_fx,s,4.3500000000000005,L_prime,0.1209608221749919,1.6736156276257725,2.3340988031995495
a_exchange,pbe_fx,s,4.375,L_prime,0.1198930474281887,1.6748628225238602,2.344455303452002
a_exchange,pbe_fx,s,4.4,L_prime,0.1188378708496125,1.6760933283443924,2.3547640845720026
a_exchange,pbe_fx,s,4.425,L_prime,0.11779512520945348,1.6773074191068635,2.3650255210056725
a_exchange,pbe_fx,s,4.45,L_prime,0.11676464522632084,1.6785053638009961,2.375239983995394
a_exchange,pbe_fx,s,4.4750000000000005,L_prime,0.11574626757008313,1.6796874264790258,2.3854078415817614
a_exchange,pbe_fx,s,4.5,L_prime,0.1147398308629384,1.6808538663467358,2.395529458607243
a_exchange,pbe_fx,s,4.525,L_prime,0.11374517567881991,1.682004937853222,2.4056051967214587
a_exchange,pbe_fx,s,4.55,L_prime,0.11276214454124792,1.6831408907793708,2.4156354143879444
a_exchange,pbe_fx,s,4.575,L_prime,0.11179058191972595,1.6842619703250405,2.4256204668923376
a_exchange,pbe_fx,s,4.6000000000000005,L_prime,0.11083033422477954,1.685368417194935,2.4355607063518803
a_exchange,pbe_fx,s,4.625,L_prime,0.10988124980172645,1.6864604676831623,2.445456481726155
a_exchange,pbe_fx,s,4.65,L_prime,0.10894317892326422,1.687538353756474,2.4553081388289772
a_exchange,pbe_fx,s,4.675,L_prime,0.10801597378095891,1.6886023031361845,2.4651160203413727
a_exchange,pbe_fx,s,4.7,L_prime,0.10709948847571203,1.6896525393787643,2.47488046582555
a_exchange,pbe_fx,s,4.7250000000000005,L_prime,0.10619357900727545,1.6906892819551151,2.4846018117398216
a_exchange,pbe_fx,s,4.75,L_prime,0.10529810326289282,1.691712746328525,2.4942803914543914
a_exchange,pbe_fx,s,4.775,L_prime,0.10441292100512208,1.69272314403131,2.5039165352679578
a_exchange,pbe_fx,s,4.800000000000001,L_prime,0.10353789385891159,1.6937206827401463,2.5135105704250664
a_exchange,pbe_fx,s,4.825,L_prime,0.10267288529798346,1.6947055663501032,2.5230628211341593
a_exchange,pbe_fx,s,4.8500000000000005,L_prime,0.10181776063058108,1.695677995047382,2.532573608586278
a_exchange,pbe_fx,s,4.875,L_prime,0.10097238698463502,1.6966381653807714,2.542043250974349
a_exchange,pbe_fx,s,4.9,L_prime,0.10013663329239877,1.6975862703318307,2.5514720635130277
a_exchange,pbe_fx,s,4.925000000000001,L_prime,0.09931037027459488,1.6985224993838095,2.560860358459034
a_exchange,pbe_fx,s,4.95,L_prime,0.09849347042412672,1.6994470385893194,2.570208445131969
a_exchange,pbe_fx,s,4.9750000000000005,L_prime,0.0976858079893879,1.7003600706367672,2.57951662993553
a_exchange,pbe_fx,s,5.0,L_prime,0.09688725895721774,1.701261774915565,2.588785216379129
a_exchange,pbe_fx,s,5.025,L_prime,0.09609770103553233,1.7021523275801298,2.59801450509984
a_exchange,pbe_fx,s,5.050000000000001,L_prime,0.09531701363567632,1.7030319016126885,2.6072047938846774
a_exchange,pbe_fx,s,5.075,L_prime,0.09454507785451803,1.7039006668849015,2.616356377693139
a_exchange,pbe_fx,s,5.1000000000000005,L_prime,0.09378177645632749,1.7047587902183228,2.625469548680025
a_exchange,pbe_fx,s,5.125,L_prime,0.09302699385446717,1.7056064354437073,2.6345445962184417
a_exchange,pbe_fx,s,5.15,L_prime,0.09228061609291426,1.7064437634591885,2.6435818069230463
a_exchange,pbe_fx,s,5.175000000000001,L_prime,0.09154253082765364,1.7072709322873345,2.652581464673415
a_exchange,pbe_fx,s,5.2,L_prime,0.09081262730795499,1.708088097131107,2.661543850637603
a_exchange,pbe_fx,s,5.2250000000000005,L_prime,0.09009079635756614,1.7088954104287313,2.670469243295787
a_exchange,pbe_fx,s,5.25,L_prime,0.08937693035583583,1.7096930219075017,2.679357918464034
a_exchange,pbe_fx,s,5.275,L_prime,0.08867092321879516,1.7104810786365339,2.688210149318144
a_exchange,pbe_fx,s,5.300000000000001,L_prime,0.0879726703802098,1.711259725078483,2.6970262064175516
a_exchange,pbe_fx,s,5.325,L_prime,0.08728206877262305,1.7120291031402441,2.7058063577292786
a_exchange,pbe_fx,s,5.3500000000000005,L_prime,0.08659901680840992,1.7127893522226525,2.714550868651906
a_exchange,pbe_fx,s,5.375,L_prime,0.08592341436085253,1.7135406092691985,2.723260002039565
a_exchange,pbe_fx,s,5.4,L_prime,0.08525516274525446,1.714283008813776,2.7319340182259126
a_exchange,pbe_fx,s,5.425000000000001,L_prime,0.08459416470010728,1.7150166830274802,2.7405731750481004
a_exchange,pbe_fx,s,5.45,L_prime,0.08394032436832205,1.7157417617644724,2.749177727870709
a_exchange,pbe_fx,s,5.4750000000000005,L_prime,0.0832935472785362,1.7164583726069251,2.7577479296096334
a_exchange,pbe_fx,s,5.5,L_prime,0.08265374032651052,1.7171666409090691,2.766284030755916
a_exchange,pbe_fx,s,5.525,L_prime,0.08202081175662057,1.717866689840354,2.7747862793995166
a_exchange,pbe_fx,s,5.550000000000001,L_prime,0.08139467114345837,1.7185586404277413,2.7832549212529982
